time,QA:1,force:1,pA:1,pos:1,u:1
0,0,11433.37721,4043730,0.007353829,0
0.03,0,11433.364,4043725.377,0.007353829,0
0.06,0,11433.35307,4043721.494,0.00735383,0
0.09,0,11433.35421,4043721.821,0.00735383,0
0.12,0,11433.3652,4043725.706,0.007353829,0
0.15,0,11433.36665,4043726.294,0.007353829,0
0.18,0,11433.35621,4043722.621,0.00735383,0
0.2,0,11433.35222,4043721.175,0.00735383,0
0.2,0,11433.35222,4043721.175,0.00735383,0
0.2,0,11433.35222,4043721.175,0.00735383,3.55271E-13
0.200000715,1.03153E-11,11433.35222,4043721.175,0.00735383,0.000143065
0.200002146,5.143E-11,11433.35222,4043721.175,0.00735383,0.000429196
0.20000325,1.11004E-10,11433.35222,4043721.175,0.00735383,0.000649982
0.200005238,2.78408E-10,11433.35222,4043721.176,0.00735383,0.001047538
0.200010253,1.03425E-09,11433.35224,4043721.183,0.00735383,0.002050667
0.200015269,2.25138E-09,11433.3523,4043721.203,0.00735383,0.003053796
0.200021636,4.4243E-09,11433.35244,4043721.253,0.00735383,0.004327218
0.200028003,7.26083E-09,11433.35269,4043721.342,0.00735383,0.00560064
0.20003437,1.072E-08,11433.35308,4043721.478,0.00735383,0.006874062
0.200040737,1.47635E-08,11433.35362,4043721.671,0.00735383,0.008147484
0.200047105,1.93552E-08,11433.35436,4043721.93,0.00735383,0.009420906
0.200055398,2.61E-08,11433.35563,4043722.38,0.00735383,0.011079548
0.200063691,3.36486E-08,11433.3573,4043722.971,0.00735383,0.01273819
0.200074311,4.4383E-08,11433.36009,4043723.96,0.00735383,0.014862142
0.20008493,5.62093E-08,11433.3637,4043725.234,0.00735383,0.016986095
0.20009829,7.24634E-08,11433.3695,4043727.286,0.00735383,0.019658066
0.20011165,9.0079E-08,11433.37682,4043729.877,0.00735383,0.022330037
0.200128493,1.13957E-07,11433.38842,4043733.978,0.00735383,0.025698631
0.200145336,1.39438E-07,11433.40282,4043739.072,0.00735383,0.029067225
0.200166767,1.73777E-07,11433.42547,4043747.083,0.00735383,0.033353375
0.200188198,2.09891E-07,11433.45321,4043756.896,0.00735383,0.037639526
0.20021591,2.58654E-07,11433.49703,4043772.393,0.00735383,0.043181931
0.200243622,3.09243E-07,11433.55013,4043791.177,0.00735383,0.048724336
0.200280422,3.78477E-07,11433.63553,4043821.383,0.00735383,0.056084423
0.200317223,4.49414E-07,11433.73833,4043857.746,0.00735383,0.06344451
0.200368211,5.49532E-07,11433.91019,4043918.539,0.00735383,0.073642233
0.2004192,6.51033E-07,11434.11673,4043991.6,0.00735383,0.083839956
0.200494858,8.03019E-07,11434.48788,4044122.898,0.00735383,0.098971618
0.200587712,9.9069E-07,11435.04975,4044321.671,0.00735383,0.117542431
0.200716011,1.25078E-06,11436.01976,4044664.858,0.00735383,0.143202101
0.200893614,1.61123E-06,11437.73395,4045271.382,0.00735383,0.178722763
0.20117468,2.18175E-06,11441.3278,4046543.157,0.00735383,0.234935943
0.201682924,3.2132E-06,11450.56329,4049812.163,0.007353831,0.336584787
0.202371339,4.6096E-06,11468.67297,4056224.569,0.007353833,0.47426773
0.203059753,6.00491E-06,11493.19027,4064909.265,0.007353839,0.611950673
0.203748168,7.39879E-06,11524.06332,4075849.782,0.007353849,0.749633616
0.204436583,8.79094E-06,11561.22813,4089025.385,0.007353868,0.887316558
0.205124998,1.0181E-05,11604.60869,4104411.117,0.007353899,1.024999501
0.205813412,1.15687E-05,11654.11709,4121977.853,0.007353944,1.162682444
0.206501827,1.29538E-05,11709.65367,4141692.359,0.007354008,1.300365387
0.207190242,1.43358E-05,11771.10726,4163517.366,0.007354097,1.43804833
0.207878656,1.57146E-05,11838.35533,4187411.644,0.007354215,1.575731272
0.208567071,1.70899E-05,11911.26427,4213330.093,0.007354369,1.713414215
0.209255486,1.84613E-05,11989.68965,4241223.835,0.007354565,1.851097158
0.210099563,2.01373E-05,12093.13997,4278040.206,0.007354872,2.019912604
0.21094364,2.18067E-05,12204.34208,4317642.338,0.007355265,2.18872805
0.211973712,2.38345E-05,12350.05276,4369575.693,0.007355885,2.394742488
0.213003785,2.58511E-05,12506.1756,4425271.987,0.007356684,2.600756926
0.214263807,2.83018E-05,12710.26947,4498163.255,0.007357952,2.852761445
0.21552383,3.07339E-05,12927.58031,4575877.409,0.007359593,3.104765965
0.217098485,3.37459E-05,13215.4857,4679005.877,0.007362269,3.419696997
0.21867314,3.67264E-05,13518.89684,4787905.096,0.007365759,3.73462803
0.220723148,4.05585E-05,13931.84522,4936503.916,0.007371761,4.144629642
0.222773156,4.4336E-05,14358.87853,5090681.367,0.007379696,4.554631254
0.225678065,4.9599E-05,14973.29514,5313567.126,0.007394929,5.135612965
0.228582973,5.47651E-05,15581.24421,5535578.393,0.00741565,5.716594676
0.231487882,5.98498E-05,16162.98677,5749782.955,0.007442793,6.297576388
0.23439279,6.48744E-05,16700.12148,5949645.329,0.007477254,6.878558099
0.237297699,6.98645E-05,17176.24681,6129252.762,0.00751986,7.45953981
0.240202608,7.48493E-05,17577.52286,6283513.246,0.007571345,8.040521522
0.243107516,7.98601E-05,17893.10814,6408317.369,0.007632329,8.621503233
0.246674878,8.60952E-05,18152.48503,6516901.415,0.007720934,9.334975506
0.25,9.20325E-05,18261.9972,6571406.57,0.007817604,10
0.25,9.20315E-05,18261.9972,6571406.57,0.007817604,10
0.25,9.20315E-05,18261.9972,6571406.57,0.007817604,10
0.250612565,9.2179E-05,18262.08935,6574270.686,0.00783715,10
0.251837696,9.22256E-05,18244.82073,6573711.249,0.007877184,10
0.253062826,9.22444E-05,18192.7353,6560567.219,0.007919097,10
0.254287957,9.2366E-05,18106.56857,6535043.372,0.007962875,10
0.256032214,9.25685E-05,17927.29294,6478023.58,0.008028366,10
0.258148511,9.29683E-05,17624.92237,6377618.042,0.008112677,10
0.260995478,9.36627E-05,17083.9753,6192693.26,0.008234033,10
0.264654157,9.48499E-05,16193.63173,5881592.405,0.00840209,10
0.268312836,9.62516E-05,15127.49698,5503235.657,0.008581785,10
0.271971515,9.78269E-05,13938.69152,5076778.334,0.008770533,10
0.275630194,9.94596E-05,12682.89483,4622725.162,0.008965445,10
0.279288873,0.000101105,11416.09058,4161998.331,0.009163467,10
0.282947552,0.000102661,10192.61721,3715085.129,0.009361514,10
0.286606231,0.000104095,9063.228428,3301183.844,0.009556606,10
0.29026491,0.000105327,8073.425519,2937468.179,0.009745987,10
0.293923589,0.000106339,7261.828038,2638404.647,0.009927242,10
0.298431521,0.000107213,6551.800157,2375410.994,0.010136445,10
0.302939452,0.000107666,6193.395286,2240180.649,0.010327778,10
0.307447384,0.000107672,6199.775362,2237036.078,0.010499907,10
0.311955316,0.000107264,6559.427414,2361267.447,0.010652845,10
0.316463247,0.000106465,7236.905903,2599687.779,0.010787903,10
0.320971179,0.000105351,8175.298026,2931738.88,0.010907564,10
0.32547911,0.000103988,9300.537541,3331131.533,0.011015274,10
0.329987042,0.000102482,10527.15776,3767851.137,0.011115167,10
0.334494974,0.000100929,11765.11774,4210420.481,0.011211754,10
0.339002905,9.94447E-05,12926.89949,4628191.416,0.011309594,10
0.343510837,9.81248E-05,13934.25086,4993518.346,0.011412968,10
0.348018769,9.70669E-05,14723.77988,5283600.103,0.011525593,10
0.35,9.67006E-05,14990.82776,5383195.282,0.011578741,10
0.35,9.67006E-05,14990.82776,5383195.282,0.011578741,10
0.35,9.67006E-05,14990.82776,5383195.282,0.011578741,10
0.351193068,9.65253E-05,15115.64171,5430488.782,0.011612463,10
0.353579204,9.62284E-05,15324.60401,5510724.634,0.011681911,10
0.355965339,9.60386E-05,15451.94515,5561964.041,0.011755449,10
0.359540319,9.59562E-05,15490.2079,5584111.822,0.011873545,10
0.36383299,9.61691E-05,15304.00829,5526778.463,0.012027883,10
0.368125662,9.66927E-05,14887.21792,5385100.174,0.012195275,10
0.372418333,9.74776E-05,14275.99538,5171326.048,0.012374342,10
0.376711005,9.84592E-05,13516.13333,4901527.695,0.012563051,10
0.381003676,9.95647E-05,12659.81197,4594451.077,0.012758866,10
0.385296347,0.000100719,11762.31806,4270284.471,0.012958929,10
0.389589019,0.000101848,10878.86072,3949408.521,0.013160238,10
0.39388169,0.000102886,10061.5879,3651193.942,0.013359836,10
0.398174361,0.000103777,9356.876463,3392903.243,0.013554983,10
0.402467033,0.000104476,8802.970599,3188748.855,0.013743316,10
0.407787452,0.000105029,8367.329725,3026235.872,0.013964509,10
0.413107871,0.000105211,8233.093005,2972600.651,0.014170261,10
0.41842829,0.000105023,8400.411567,3027868.718,0.014359875,10
0.423748709,0.000104499,8841.214747,3181890.952,0.014534188,10
0.429069129,0.000103699,9502.399886,3415671.469,0.014695438,10
0.434389548,0.000102705,10311.57469,3703507.704,0.014846991,10
0.439709967,0.000101615,11184.80934,4015718.358,0.014992973,10
0.445030386,0.000100536,12035.52493,4321672.116,0.015137841,10
0.450350805,9.95706E-05,12783.42312,4592793.707,0.015285946,10
0.455671224,9.88072E-05,13362.33511,4805227.174,0.015441118,10
0.460991644,9.8313E-05,13726.0788,4941891.36,0.015606332,10
0.466312063,9.81248E-05,13851.7754,4993750.169,0.015783468,10
0.471632482,9.82465E-05,13740.48337,4960219.159,0.015973192,10
0.476952901,9.86501E-05,13415.39051,4848734.172,0.016174959,10
0.48227332,9.92809E-05,12918.07339,4673595.556,0.016387131,10
0.487593739,0.000100065,12303.44625,4454258.855,0.016607182,10
0.492914158,0.00010092,11634.00243,4213267.838,0.016831983,10
0.498234578,0.000101762,10973.88255,3974035.459,0.017058121,10
0.503554997,0.000102513,10383.20831,3758670.236,0.017282221,10
0.508875416,0.000103112,9913.040013,3586025.965,0.017501263,10
0.514195835,0.000103512,9601.267438,3470127.778,0.017712837,10
0.519516254,0.000103687,9469.709016,3419094.873,0.017915342,10
0.524836673,0.000103634,9522.646951,3434638.233,0.018108099,10
0.530157093,0.000103367,9746.963723,3512168.186,0.018291371,10
0.535477512,0.00010292,10113.90174,3641486.125,0.018466299,10
0.540797931,0.000102342,10582.30296,3807978.552,0.018634755,10
0.547331273,0.000101542,11221.04254,4036537.157,0.01883645,10
0.55,0.000101211,11483.48347,4130910.423,0.018918166,10
0.55,0.000101211,11483.48347,4130910.423,0.018918166,10
0.55,0.000101211,11483.48347,4130910.423,0.018918166,10
0.551722991,0.000101003,11646.60342,4189794.346,0.01897099,10
0.555168972,0.000100604,11958.67283,4302721.373,0.019077115,10
0.558614954,0.000100244,12236.80993,4403937.42,0.019184513,10
0.564553344,9.97597E-05,12606.47742,4539915.503,0.019374399,10
0.570491735,9.94811E-05,12812.10415,4617777.994,0.019572094,10
0.576430125,9.94314E-05,12839.06006,4631654.597,0.019778923,10
0.582368515,9.96042E-05,12694.39344,4583425.033,0.019995082,10
0.588306906,9.99663E-05,12404.52165,4482040.596,0.020219678,10
0.594245296,0.000100464,12010.8872,4342073.925,0.020450894,10
0.6,0.000101013,11578.87925,4186978.637,0.020678908,10
0.6,0.000101013,11578.87925,4186978.637,0.020678908,10
0.6,0.000101013,11578.87925,4186978.637,0.020678908,10
0.600260287,0.000100659,11558.08641,4179481.963,0.020689285,9.947942607
0.600780861,9.97427E-05,11514.85836,4163889.607,0.020710044,9.84382782
0.601301435,9.87121E-05,11468.17123,4147036.016,0.02073081,9.739713033
0.601822009,9.77366E-05,11417.96963,4128900.481,0.020751581,9.635598246
0.60252461,9.63952E-05,11344.8259,4102456.322,0.020779619,9.49507796
0.603500048,9.45556E-05,11233.24072,4062075.183,0.02081854,9.299990369
0.605019533,9.16941E-05,11037.1991,3991040.775,0.02087911,8.996093439
0.607660721,8.67553E-05,10637.1661,3845834.064,0.02098397,8.467855747
0.612345087,7.80002E-05,9773.665759,3531646.522,0.021166997,7.530982652
0.617029452,6.91593E-05,8764.12789,3163629.881,0.021343424,6.594109557
0.621713818,6.01231E-05,7678.24822,2767422.54,0.021509218,5.657236462
0.626398183,5.08335E-05,6588.576479,2369806.866,0.02166004,4.720363367
0.631082549,4.12538E-05,5566.746623,1997149.761,0.021791534,3.783490272
0.635766914,3.13967E-05,4679.708781,1673857.617,0.021899613,2.846617177
0.64045128,2.12925E-05,3986.083571,1420938.714,0.021980731,1.909744082
0.645135645,1.10094E-05,3532.687237,1254726.105,0.022032114,0.972870987
0.649820011,6.21492E-07,3351.461803,1185858.176,0.022051952,0.035997892
0.65,2.2047E-07,3349.993723,1185163.3,0.022052083,1.42109E-12
0.65,2.21503E-07,3349.993723,1185163.3,0.022052083,0
0.65,2.21503E-07,3349.993723,1185163.3,0.022052083,-1.42109E-12
0.650099754,-2.24363E-12,3349.877411,1185025.632,0.022052083,-0.019950816
0.650099754,-5.4772E-18,3349.877411,1185025.632,0.022052083,-0.019950816
0.650199508,-5.79121E-08,3349.666243,1184854.434,0.022052107,-0.039901633
0.650399016,-1.73783E-07,3349.729352,1184683.808,0.022052124,-0.079803265
0.650870317,-4.47907E-07,3353.735246,1185644.57,0.02205193,-0.174063377
0.652009374,-1.11499E-06,3385.759028,1195857.317,0.022050102,-0.401874749
0.653148431,-1.79594E-06,3449.253178,1217163.012,0.022046359,-0.629686122
